"","time","value","comment"
"183",2013-03-01 15:10:00,1509.5,"closing_time_past;prev_time=>2013-03-01 15:10:00,prev_stock_market=>CME"
"184",2013-03-01 15:15:00,1509.5,"closing_time_past;prev_time=>2013-03-01 15:10:00,prev_stock_market=>CME"
"185",2013-03-01 15:20:00,1507.25,"closing_time_past;prev_time=>2013-03-01 15:20:00,prev_stock_market=>CME"
"186",2013-03-01 15:25:00,1507.25,"closing_time_past;prev_time=>2013-03-01 15:20:00,prev_stock_market=>CME"
"187",2013-03-01 15:30:00,1509.5,"closing_time_past;prev_time=>2013-03-01 15:30:00,prev_stock_market=>CME"
"188",2013-03-01 15:35:00,1509.5,"closing_time_past;prev_time=>2013-03-01 15:30:00,prev_stock_market=>CME"
"189",2013-03-01 15:40:00,1511.25,"closing_time_past;prev_time=>2013-03-01 15:40:00,prev_stock_market=>CME"
"190",2013-03-01 15:45:00,1511.25,"closing_time_past;prev_time=>2013-03-01 15:40:00,prev_stock_market=>CME"
"191",2013-03-01 15:50:00,1512,"closing_time_past;prev_time=>2013-03-01 15:50:00,prev_stock_market=>CME"
"192",2013-03-01 15:55:00,1512,"closing_time_past;prev_time=>2013-03-01 15:50:00,prev_stock_market=>CME"
"193",2013-03-01 16:00:00,1515.75,"closing_time_past;prev_time=>2013-03-01 16:00:00,prev_stock_market=>CME"
"194",2013-03-01 16:05:00,1515.75,"closing_time_past;prev_time=>2013-03-01 16:00:00,prev_stock_market=>CME"
"195",2013-03-01 16:10:00,1516,"closing_time_past;prev_time=>2013-03-01 16:10:00,prev_stock_market=>CME"
"196",2013-03-01 16:15:00,1516,"closing_time_past;prev_time=>2013-03-01 16:10:00,prev_stock_market=>CME"
"197",2013-03-01 16:20:00,1513.25,"closing_time_past;prev_time=>2013-03-01 16:20:00,prev_stock_market=>CME"
"198",2013-03-01 16:25:00,1513.25,"closing_time_past;prev_time=>2013-03-01 16:20:00,prev_stock_market=>CME"
"199",2013-03-01 16:30:00,1512.75,"closing_time_past;prev_time=>2013-03-01 16:30:00,prev_stock_market=>CME"
"200",2013-03-01 16:35:00,1512.75,"closing_time_past;prev_time=>2013-03-01 16:30:00,prev_stock_market=>CME"
"201",2013-03-01 16:40:00,1512,"closing_time_past;prev_time=>2013-03-01 16:40:00,prev_stock_market=>CME"
"202",2013-03-01 16:45:00,1512,"closing_time_past;prev_time=>2013-03-01 16:40:00,prev_stock_market=>CME"
"203",2013-03-01 16:50:00,1510,"closing_time_past;prev_time=>2013-03-01 16:50:00,prev_stock_market=>CME"
"204",2013-03-01 16:55:00,1510,"closing_time_past;prev_time=>2013-03-01 16:50:00,prev_stock_market=>CME"
"205",2013-03-01 17:00:00,1512,"closing_time_past;prev_time=>2013-03-01 17:00:00,prev_stock_market=>CME"
"206",2013-03-01 17:05:00,1512,"closing_time_past;prev_time=>2013-03-01 17:00:00,prev_stock_market=>CME"
"207",2013-03-01 17:10:00,1514.75,"closing_time_past;prev_time=>2013-03-01 17:10:00,prev_stock_market=>CME"
"208",2013-03-01 17:15:00,1514.75,"closing_time_past;prev_time=>2013-03-01 17:10:00,prev_stock_market=>CME"
"209",2013-03-01 17:20:00,1517,"closing_time_past;prev_time=>2013-03-01 17:20:00,prev_stock_market=>CME"
"210",2013-03-01 17:25:00,1517,"closing_time_past;prev_time=>2013-03-01 17:20:00,prev_stock_market=>CME"
"211",2013-03-01 17:30:00,1516.5,"closing_time_past;prev_time=>2013-03-01 17:30:00,prev_stock_market=>CME"
"212",2013-03-01 17:35:00,1516.5,"closing_time_past;prev_time=>2013-03-01 17:30:00,prev_stock_market=>CME"
"213",2013-03-01 17:40:00,1517.25,"closing_time_past;prev_time=>2013-03-01 17:40:00,prev_stock_market=>CME"
"214",2013-03-01 17:45:00,1517.25,"closing_time_past;prev_time=>2013-03-01 17:40:00,prev_stock_market=>CME"
"215",2013-03-01 17:50:00,1516.75,"closing_time_past;prev_time=>2013-03-01 17:50:00,prev_stock_market=>CME"
"216",2013-03-01 17:55:00,1516.75,"closing_time_past;prev_time=>2013-03-01 17:50:00,prev_stock_market=>CME"
"217",2013-03-01 18:00:00,1518.25,"closing_time_past;prev_time=>2013-03-01 18:00:00,prev_stock_market=>CME"
"218",2013-03-01 18:05:00,1518.25,"closing_time_past;prev_time=>2013-03-01 18:00:00,prev_stock_market=>CME"
"219",2013-03-01 18:10:00,1516.5,"closing_time_past;prev_time=>2013-03-01 18:10:00,prev_stock_market=>CME"
